,Province/State,Country/Region,Lat,Long,3/11/20,3/12/20,Delta,Percentage,date
364,"Pinellas, FL",US,27.87640000,-82.77790000,0,0,0,,2020-03-12 22:25:28.337717
365,"Alachua, FL",US,29.79380000,-82.49440000,0,0,0,,2020-03-12 22:25:28.337717
366,"Nassau, FL",US,30.59270000,-81.82240000,0,0,0,,2020-03-12 22:25:28.337717
367,"Pasco, FL",US,28.32320000,-82.43190000,0,0,0,,2020-03-12 22:25:28.337717
368,"Dallas, TX",US,32.77670000,-96.79700000,0,0,0,,2020-03-12 22:25:28.337717
369,"Tarrant, TX",US,32.77320000,-97.35170000,0,0,0,,2020-03-12 22:25:28.337717
370,"Montgomery, TX",US,30.38830000,-95.69630000,0,0,0,,2020-03-12 22:25:28.337717
371,"Middlesex, NJ",US,40.57260000,-74.49270000,0,0,0,,2020-03-12 22:25:28.337717
372,"Jefferson, CO",US,39.58000000,-105.26630000,0,0,0,,2020-03-12 22:25:28.337717
373,"Multnomah, OR",US,45.51460000,-122.58630000,0,0,0,,2020-03-12 22:25:28.337717
374,"Polk, OR",US,44.92670000,-123.49190000,0,0,0,,2020-03-12 22:25:28.337717
375,"Deschutes, OR",US,43.83250000,-121.26170000,0,0,0,,2020-03-12 22:25:28.337717
376,"McHenry, IL",US,42.33340000,-88.26680000,0,0,0,,2020-03-12 22:25:28.337717
377,"Lake, IL",US,42.36890000,-87.82720000,0,0,0,,2020-03-12 22:25:28.337717
378,"Bucks, PA",US,40.41080000,-75.24790000,0,0,0,,2020-03-12 22:25:28.337717
379,"Hanover, VA",US,37.77720000,-77.51610000,0,0,0,,2020-03-12 22:25:28.337717
380,"Lancaster, SC",US,34.72530000,-80.67710000,0,0,0,,2020-03-12 22:25:28.337717
381,"Sullivan, TN",US,36.49330000,-82.34520000,0,0,0,,2020-03-12 22:25:28.337717
382,"Johnson, IN",US,39.46380000,-86.13450000,0,0,0,,2020-03-12 22:25:28.337717
383,"Howard, IN",US,40.44830000,-86.13450000,0,0,0,,2020-03-12 22:25:28.337717
384,"St. Joseph, IN",US,41.62280000,-86.33770000,0,0,0,,2020-03-12 22:25:28.337717
385,"Knox, NE",US,42.67120000,-97.87220000,0,0,0,,2020-03-12 22:25:28.337717
386,"Stark, OH",US,40.86850000,-81.25190000,0,0,0,,2020-03-12 22:25:28.337717
387,"Anoka, MN",US,45.32930000,-93.21970000,0,0,0,,2020-03-12 22:25:28.337717
388,"Olmsted, MN",US,43.99520000,-92.38140000,0,0,0,,2020-03-12 22:25:28.337717
389,"Summit, UT",US,40.82980000,-110.99840000,0,0,0,,2020-03-12 22:25:28.337717
