date2,unixtime,adm0_a3,nyt_name,location,sublocation,lat,lon,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,world_map_label,world_map_label_desktop_only,world_map_label_name,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,mobile_table_name,sentence_name,label_offset_y,label,postal,confirmed,deaths,us_state_label,name
Fri Mar  6 20:33:34 PST 2020,1583555614,AUT,Austria,Austria,,47.516,14.55,True,True,True,,,,,,,,Austria,,,,,,,,Austria,,55,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,KWT,Kuwait,Kuwait,,29.312,47.482,True,True,True,,,,,,,,Kuwait,,,,,,,,Kuwait,,58,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,BHR,Bahrain,Bahrain,,25.93,50.638,True,True,True,,,,,,,,Bahrain,,,,,,,,Bahrain,,60,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,CHN,,Mainland China,Inner Mongolia,43.61,113.35,True,,,,,,,,,,Mainland China,,,,,,,,Inner Mongolia (Mainland China),,75,1,,
Fri Mar  6 20:33:34 PST 2020,1583555614,CHN,,Mainland China,Ningxia,37.3,104.85,True,,,,,,,,,,Mainland China,,,,,,,,Ningxia (Mainland China),,75,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,CHN,,Mainland China,Xinjiang,40.06,87.7,True,,,,,,,,,,Mainland China,,,,,,,,Xinjiang (Mainland China),,76,3,,
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,California,36.778261,-119.417932,True,,,,,,,,,,,,,,,,,,,CA,79,1,Calif.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,MYS,Malaysia,Malaysia,,4.21,101.976,True,True,True,,,,,,,,Malaysia,right,True,,,,,,Malaysia,,83,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,USA,,US,Washington,46.751074,-120.740139,True,,,,,,,,,,,,,,,,,,,WA,84,14,Wash.,US
Fri Mar  6 20:33:34 PST 2020,1583555614,CHN,,Mainland China,Jilin,43.85,126.5,True,,,,,,,,,,Mainland China,,,,,,,,Jilin (Mainland China),,93,1,,
Fri Mar  6 20:33:34 PST 2020,1583555614,SWE,Sweden,Sweden,,60.128,18.644,True,True,True,,,,,,,,Sweden,,,,,,,,Sweden,,101,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,HKG,Hong Kong,Hong Kong,Hong Kong,22.396,114.109,True,True,False,,,,,,,,Hong Kong,,,,,,,,Hong Kong (Hong Kong),,107,2,,
Fri Mar  6 20:33:34 PST 2020,1583555614,NOR,Norway,Norway,,60.472,8.469,True,True,True,,,,,,,,Norway,,,True,,,,,Norway,,108,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,BEL,Belgium,Belgium,,50.504,4.47,True,True,True,,,,,,,,Belgium,,,,,,,,Belgium,,109,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,CHN,,Mainland China,Gansu,40.39,96.81,True,,,,,,,,,,Mainland China,,,,,,,,Gansu (Mainland China),,119,2,,
Fri Mar  6 20:33:34 PST 2020,1583555614,CHN,,Mainland China,Liaoning,41.3,121.9,True,,,,,,,,,,Mainland China,,,,,,,,Liaoning (Mainland China),,125,1,,
Fri Mar  6 20:33:34 PST 2020,1583555614,NLD,Netherlands,Netherlands,,52.133,5.291,True,True,True,,https://twitter.com/GertvanderHoek/status/1235578413198475264?s=20,82,,Mar. 5,,,Netherlands,,,,,,,,Netherlands,,128,1,,
Fri Mar  6 20:33:34 PST 2020,1583555614,SGP,Singapore,Singapore,,1.352,103.82,True,True,True,,,,,,True,True,Singapore,right,,,,,,,Singapore,,130,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,CHN,,Mainland China,Shanxi,37.64,110.15,True,,,,,,,,,,Mainland China,,,,,,,,Shanxi (Mainland China),,133,0,,
Fri Mar  6 20:33:34 PST 2020,1583555614,CHN,,Mainland China,Tianjin,39.13,117.01,True,,,,,,,,,,Mainland China,,,,,,,,Tianjin (Mainland China),,136,3,,
Fri Mar  6 20:33:34 PST 2020,1583555614,CHN,,Mainland China,Guizhou,26.91,105.48,True,,,,,,,,,,Mainland China,,,,,,,,Guizhou (Mainland China),,146,2,,
Fri Mar  6 20:33:34 PST 2020,1583555614,GBR,U.K.,UK,,55.378,-3.436,True,True,True,,,,,,True,True,UK,,,True,,,the United Kingdom,,UK,,163,2,,
Fri Mar  6 20:33:34 PST 2020,1583555614,CHN,,Mainland China,Hainan,19.15,109.37,True,,,,,,,,,,Mainland China,,,,,,,,Hainan (Mainland China),,168,6,,
