date2,unixtime,adm0_a3,nyt_name,lat,lon,jhu_location,jhu_sublocation,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,override_fixed,mobile_table_name,world_map_label_name,world_map_label,world_map_label_desktop_only,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,label_offset_y,sentence_name,label,confirmed,deaths,recovered
Mon Mar  9 13:50:22 PDT 2020,1583787022,POL,Poland,51.919,19.145,Poland,,True,True,True,,JHU issue,5,,0001-03-07,,Poland,Poland,,,,,,,,,Poland,16,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,RUS,Russia,61.524,105.319,Russia,,True,True,True,,,,,,,Russia,Russia,True,True,,,,,,,Russia,17,0,3
Mon Mar  9 13:50:22 PDT 2020,1583787022,QAT,Qatar,25.343,50.657,Qatar,,True,True,True,,,,,,,Qatar,Qatar,,,,,,,,,Qatar,18,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,CHN,,35.39,93.99,Mainland China,Qinghai,True,,,,,,,,,,,,,,,,,,,Qinghai (Mainland China),18,0,18
Mon Mar  9 13:50:22 PDT 2020,1583787022,IDN,Indonesia,-0.789,113.921,Indonesia,,True,True,True,,JHU issue. Pls keep,6,,0001-03-08,,Indonesia,Indonesia,True,True,,,,,,,Indonesia,19,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,DZA,Algeria,28.034,1.66,Algeria,,True,True,True,,,,,,,Algeria,Algeria,True,True,,,,,,,Algeria,20,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,PHL,Philippines,12.88,121.774,Philippines,,True,True,True,,JHU issue,5,,0001-03-07,,Philippines,Philippines,,,right,True,,,,,Philippines,20,1,1
Mon Mar  9 13:50:22 PDT 2020,1583787022,IRL,Ireland,53.413,-8.244,Ireland,,True,True,True,,Ireland dept of health,21,,0001-03-08,,Ireland,Ireland,,,,,,,,,Ireland,21,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,PSE,West Bank & Gaza,31.952,35.233,Palestine,,True,True,False,,,,,,,West Bank & Gaza,West Bank & Gaza,,,,,,,,,Palestine,22,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,BRA,Brazil,-14.235,-51.925,Brazil,,True,True,True,,,,,,,Brazil,Brazil,True,True,,,,,,,Brazil,25,0,0
