date2,unixtime,nyt_id,adm0_a3,nyt_name,lat,lon,jhu_location,jhu_sublocation,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,override_fixed,mobile_table_name,world_map_label_name,world_map_label,world_map_label_desktop_only,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,label_offset_y,sentence_name,jhu_country_region,jhu_state_province,override_count_,override_deaths_,label,confirmed,deaths,recovered
Tue Mar 10 21:41:11 PDT 2020,1583901671,60,EGY,Egypt,26.821,30.802,Egypt,,True,True,True,,"via Declan Walsh, NYT",48,1,,,Egypt,Egypt,True,True,,,,,,,Egypt,,,,Egypt,59,1,1
Tue Mar 10 21:41:11 PDT 2020,1583901671,101,ISL,Iceland,64.963,-19.021,Iceland,,True,True,True,,,,,,,Iceland,Iceland,True,True,top,,,,,,Iceland,,,,Iceland,69,0,1
Tue Mar 10 21:41:11 PDT 2020,1583901671,115,KWT,Kuwait,29.312,47.482,Kuwait,,True,True,True,,,,,,,Kuwait,Kuwait,,,,,,,,,Kuwait,,,,Kuwait,69,0,1
Tue Mar 10 21:41:11 PDT 2020,1583901671,99,IRQ,Iraq,33.223,43.679,Iraq,,True,True,True,,"via Alissa Rubin, NYT",62,,0001-03-08,,Iraq,Iraq,,,,,,,,,Iraq,,,,Iraq,71,7,3
Tue Mar 10 21:41:11 PDT 2020,1583901671,1,ARE,U.A.E.,23.424,53.848,United Arab Emirates,,True,True,True,,,,,,,UAE,U.A.E.,,,,,,,,,United Arab Emirates,,,,United Arab Emirates,74,0,12
Tue Mar 10 21:41:11 PDT 2020,1583901671,95,ISR,Israel,33,34.85,Israel,,True,True,True,,,,,,,Israel,Israel,True,True,,,,,,,Israel,,,,Israel,75,0,4
Tue Mar 10 21:41:11 PDT 2020,1583901671,258,CHN,,43.61,113.35,China,Inner Mongolia,True,,,,,,,,,,,,,,,,,,,Mainland China,Inner Mongolia,,,Inner Mongolia (China),75,1,70
Tue Mar 10 21:41:11 PDT 2020,1583901671,263,CHN,,37.3,104.85,China,Ningxia,True,,,,,,,,,,,,,,,,,,,Mainland China,Ningxia,,,Ningxia (China),75,0,71
Tue Mar 10 21:41:11 PDT 2020,1583901671,272,CHN,,40.06,87.7,China,Xinjiang,True,,,,,,,,,,,,,,,,,,,Mainland China,Xinjiang,,,Xinjiang (China),76,3,73
Tue Mar 10 21:41:11 PDT 2020,1583901671,35,CAN,Canada,56.13,-106.347,Canada,,True,True,True,,https://www.canada.ca/en/public-health/services/diseases/coronavirus-disease-covid-19.html,77,,0001-03-10,,Canada,Canada,True,True,,,,,,,Canada,,,,Canada,77,1,0
