COUNTY,CONFIRMED
NEW YORK,59
SUFFOLK,4
WESTCHESTER,1
TOMPKINS,1
TIOGA,1
ROCKLAND,1
ORANGE,3
NASSAU,4
BOSSIER,1
JEFFERSON,4
ORLEANS,8
ST. JOHN THE BAPTIST,1
TERREBONNE,1
MONTGOMERY,6
CARROLL,1
HARFORD,1
SUMMIT,1
NASSAU,1
JOHNSON,1
COBB,7
DEKALB,4
FAYETTE,3
FLOYD,1
FULTON,7
COWETA,2
NASSAU,1
JEFFERSON,1
NELSON,1
WINDSOR,1
WASHINGTON,1
WINDSOR,1
NASSAU,2
JEFFERSON,3
ORLEANS,8
ST. CHARLES,1
CADDO,1
LAFOURCHE,1
ST. TAMMANY,2
SAN DIEGO,1
BERGEN,8
MONMOUTH,1
ESSEX,1
HUDSON,2
MERCER,1
MIDDLESEX,6
BRUNSWICK,1
HARNETT,1
CRAVEN,1
NASSAU,1
WAKE,2
WASHOE,1
BELMONT,2
BUTLER,4
FRANKLIN,1
LORAIN,1
STARK,1
TUSCARAWAS,1
SUMMIT,2
TRUMBULL,1
FRANKLIN,1
ALLEGHENY,2
CHESTER,1
MONTGOMERY,2
PHILADELPHIA,1
BRAZORIA,2
UNKNOWN,2
HENNEPIN,3
STEARNS,1
RAMSEY,1
ANOKA,1
RENVILLE,1
DAVIDSON,1
CAMPBELL,1
WILLIAMSON,1
ADAMS,3
ARAPAHOE,3
DENVER,5
EAGLE,4
EL PASO,1
GUNNISON,2
JEFFERSON,2
MESA,1
PITKIN,1
WELD,1
DENVER,1
DALLAS,2
NASSAU,1
UNKNOWN,1
COOK,11
KANE,1
LAKE,1
DUPAGE,1
CUMBERLAND,1
WOODFORD,1
ST. CLAIR,2
BEAUFORT,3
KERSHAW,2
LEXINGTON,1
LOS ANGELES,11
NASSAU,2
JACKSON,1
PIERCE,7
MARICOPA,1
PIMA,1
GRAHAM,1
WHATCOM,1
YAKIMA,1
NASSAU,5
MONROE,1
FAIRFIELD,7
HARTFORD,1
NEW HAVEN,1
ORLEANS,9
JEFFERSON,1
SANDOVAL,2
BERNALILLO,1
BEXAR,1
SALT LAKE,2
SUMMIT,1
JAMES CITY,1
ARLINGTON,2
WESTCHESTER,1
LOUDOUN,1
VIRGINIA BEACH CITY,1
SPOTSYLVANIA,1
CHESTERFIELD,1
SNOHOMISH,22
KING,60
DANE,1
MILWAUKEE,4
WAUKESHA,2
WINNEBAGO,1
ISLAND,3
WASHINGTON,3
DESCHUTES,2
LINN,1
DOUGLAS,2
SANTA CLARA,12
HARRIS,1
FAYETTE,1
HARRISON,2
BOURBON,1
DISTRICT OF COLUMBIA,6
BALTIMORE,1
UNKNOWN,1
BOULDER,1
GREENE,1
FAIRFAX,4
JEFFERSON,1
SANGAMON,2
DALLAS,1
TULARE,1
PLACER,1
MISSOULA,2
FRESNO,1
LOS ANGELES,2
ORANGE,1
SAN FRANCISCO,5
SAN MATEO,12
SACRAMENTO,12
TARRANT,2
WAYNE,1
OAKLAND,3
MACOMB,1
MONROE,1
WAYNE,1
WASHTENAW,1
BROOME,1
HAYS,1
ALBANY,1
MARION,1
WELLS,1
LAPORTE,1
SONOMA,1
KAUAI,2
COLLIN,2
BALDWIN,1
JEFFERSON,4
TUSCALOOSA,1
ADA,1
UNKNOWN,1
TETON,1
BARNSTABLE,1
BRISTOL,1
ESSEX,3
MIDDLESEX,5
NORFOLK,4
SUFFOLK,1
SHERIDAN,1
WESTCHESTER,1
UNKNOWN,1
BERGEN,6
SALT LAKE,9
DAVIS,1
WESTCHESTER,7
NASSAU,11
SUFFOLK,8
ROCKLAND,2
ALBANY,2
DUTCHESS,1
NEW YORK,55
DAVIDSON,1
JOHNSTON,1
HARNETT,1
DAVIDSON,1
SAN LUIS OBISPO,1
DAVIDSON,1
WASHOE,1
CLARKE,2
NEWTON,1
BROWARD,1
COLLIER,2
WASHOE,1
CLAY,1
BAKER,1
LEE,1
ALLEGHENY,1
BUCKS,1
CUMBERLAND,2
DELAWARE,1
LEHIGH,1
LUZERNE,1
MONROE,3
MONTGOMERY,4
PHILADELPHIA,2
CLEVELAND,1
PAYNE,1
TULSA,1
CITRUS,1
DUVAL,1
ST. JOHNS,1
VOLUSIA,1
ORANGE,1
CLAY,1
DUVAL,1
HILLSBOROUGH,1
PASCO,1
HILLSBOROUGH,1
UNKNOWN,1
HILLSBOROUGH,1
DUVAL,1
MIAMI-DADE,1
PRINCE GEORGE'S,2
ANNE ARUNDEL,1
BALTIMORE CITY,1
FRANKLIN,1
DAVIDSON,3
WILLIAMSON,1
JEFFERSON,1
SALINE,1
PULASKI,1
HAMILTON,1
MARION,3
UNKNOWN,3
FOND DU LAC,5
NEW CASTLE,2
MIAMI-DADE,2
ERIE,3
MIAMI-DADE,1
ORLEANS,12
JEFFERSON,1
ST. BERNARD,1
BROWARD,7
MIAMI-DADE,1
ALACHUA,1
BROWARD,7
LUCAS,1
BARTOW,1
BROWARD,1
CHEROKEE,1
COBB,4
DEKALB,2
FAYETTE,1
FLOYD,1
FULTON,7
GWINNETT,2
LEE,1
LOWNDES,1
