COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
LOS ANGELES,9818605,7,0,Thu Mar  5 20:34:11 PST 2020,1583469251
SANTA CLARA,1781642,14,0,Thu Mar  5 20:34:11 PST 2020,1583469251
SAN FRANCISCO,805235,3,0,Thu Mar  5 20:34:11 PST 2020,1583469251
SAN DIEGO,3095313,1,0,Thu Mar  5 20:34:11 PST 2020,1583469251
MARIN,252409,1,0,Thu Mar  5 20:34:11 PST 2020,1583469251
SONOMA,483878,2,0,Thu Mar  5 20:34:11 PST 2020,1583469251
SOLANO,413344,13,0,Thu Mar  5 20:34:11 PST 2020,1583469251
NAPA,136484,1,0,Thu Mar  5 20:34:11 PST 2020,1583469251
HUMBOLDT,134623,1,0,Thu Mar  5 20:34:11 PST 2020,1583469251
SACRAMENTO,1418788,2,0,Thu Mar  5 20:34:11 PST 2020,1583469251
ALAMEDA,1510271,2,0,Thu Mar  5 20:34:11 PST 2020,1583469251
WALLA WALLA,58781,1,0,Thu Mar  5 20:34:11 PST 2020,1583469251
PLACER,348432,2,1,Thu Mar  5 20:34:11 PST 2020,1583469251
SAN MATEO,718451,1,0,Thu Mar  5 20:34:11 PST 2020,1583469251
CONTRA COSTA,1049025,1,0,Thu Mar  5 20:34:11 PST 2020,1583469251
ORANGE,3010232,3,0,Thu Mar  5 20:38:16 PST 2020,1583469496
LOS ANGELES,9818605,7,0,Thu Mar  5 20:38:16 PST 2020,1583469496
SANTA CLARA,1781642,14,0,Thu Mar  5 20:38:16 PST 2020,1583469496
SAN FRANCISCO,805235,3,0,Thu Mar  5 20:38:16 PST 2020,1583469496
SAN DIEGO,3095313,1,0,Thu Mar  5 20:38:16 PST 2020,1583469496
MARIN,252409,1,0,Thu Mar  5 20:38:16 PST 2020,1583469496
SONOMA,483878,2,0,Thu Mar  5 20:38:16 PST 2020,1583469496
SOLANO,413344,13,0,Thu Mar  5 20:38:16 PST 2020,1583469496
NAPA,136484,1,0,Thu Mar  5 20:38:16 PST 2020,1583469496
HUMBOLDT,134623,1,0,Thu Mar  5 20:38:16 PST 2020,1583469496
SACRAMENTO,1418788,2,0,Thu Mar  5 20:38:16 PST 2020,1583469496
ALAMEDA,1510271,2,0,Thu Mar  5 20:38:16 PST 2020,1583469496
WALLA WALLA,58781,1,0,Thu Mar  5 20:38:16 PST 2020,1583469496
PLACER,348432,2,1,Thu Mar  5 20:38:16 PST 2020,1583469496
SAN MATEO,718451,1,0,Thu Mar  5 20:38:16 PST 2020,1583469496
